escuela,lng,lat,amount
Ensenada Valle Simpson,-45.65928746,-72.081213,9
Cabezo Gordo,37.79566105,-0.900042057,28
El Escudo,-45.61027778,-72.09388889,6
Mckay,-45.60416667,-72.07527778,4
Chile Chico,-46.55388889,-71.71666667,11
Les Banyadores,41.537013,2.380791,36
Los Cahorros,37.12857106,-3.523864746,0
Hoces de Vegacervera,42.90124439,-5.539684296,4
Cuenca,40.08536095,-2.129545212,54
Penyagolosa,40.22082997,-0.352935791,1
Montserrat,41.57949786,1.778411865,1
Peñarrubia,40.77166937,-3.664627075,0
Diamante y el peñón,41.26229961,1.652530432,16
Can Figueres,41.2571621,1.654407978,9
Subirats,41.41516684,1.81422472,14
Molinicos Peña Perico,38.46460694,-2.238619924,34
Los Picarazos,38.49008145,-2.521053851,3
Torcal de Antequera,36.95267402,-4.54487443,38
Entrepeñas,40.49329851,-2.754129767,0
Beuda,42.24376873,2.712571621,81
Valcheladas,42.04331718,0.04399895668,28
Ponotx,38.61654186,-0.1495835779,5
Penya Roja,38.98360669,-0.5093514919,0
Altura,39.82989538,-0.5687141418,30
Vadiello,42.22359165,-0.2825117111,25
Las Devotas,42.56028778,0.2042770386,45
Porto,42.26454279,8.69181633,0
Santamera,41.12519071,-2.775582075,17
Majadilla Verde,40.75687997,-4.035801888,0
Pequeña Escocia,41.11167662,-2.008116245,75
Bogarra,38.57833576,-2.224192321,1
Castell d'Alaró,39.73267,2.792694569,65
Navas del Rey,40.35348596,-4.281768501,2
Peña del Reloj/Lancha del Yelmo,40.3885317,-4.316701583,5
Penyalba,39.01726231,-0.2903705835,0
Benitatxell,38.71218419,0.1734235883,1
Monsacro,43.25717441,-5.889487267,0
Olba,40.12753537,-0.6835770607,0
espolon este mollo de la creu,38.97575948,-0.2148503065,0
CAMPO 4,-0.173839,-78.490171,0
Vilanova de Meià,42.02513241,1.034924984,2
L'Atalaia,41.24578475,1.664444804,66
Cova de Sumidors,41.28414766,1.771920919,18
Torrelletes,41.27550547,1.651183963,38
La Facu,41.28134197,1.707730293,32
Gestalgar,39.60129361,-0.8542326093,0
Peña Rubia Cehegin,38,-1.8,0
